Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
344,Khizdush,Zugberthar,Zugberthar Captaincy,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,village,726,8640.7,1247.3,45.17,130.6,9,2°C,Anchorage (Alaska),,,,walls,,,,{t1:azure;charges:[{charge:stagLodgedRegardant;t:argent;p:jlh;t2:argent;t3:or;size:0.7}];shield:culture},https://watabou.github.io/village-generator/?pop=726&name=Khizdush&seed=1234182160344&width=1000&height=488&style=snow&tags=isolated%2Cuncultivated%2Cno+square%2Cpalisade%2Cdense
345,Zulbredh,Cloudgia,Cloudgia Landgrave,Vreagab,Kingdom of Vreagab,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,2582,2660.63,1246.5,45.2,-84.36,49,2°C,Anchorage (Alaska),,,,,,,,{t1:or;ordinaries:[{ordinary:pale;t:azure;line:straight}];charges:[{charge:fleurDeLis;t:azure;p:y;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Zulbredh&population=2582&size=19&seed=1234182160345&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
346,Dhog,Gurmurd,Gurmurd Captaincy,Vreagab,Kingdom of Vreagab,乌鲁克（兽人）,乌鲁克（兽人） Beliefs,town,3146,2597.25,1833.2,24.11,-86.64,729,15°C,Rome (Italy),,,,,,,,{t1:vairInPale-azure-argent;ordinaries:[{ordinary:fessDoubleCotissed;t:or;line:straight}];charges:[{charge:scale;t:gules;p:def;t2:gules;size:0.4}];shield:culture},https://watabou.github.io/city-generator/?name=Dhog&population=3146&size=20&seed=1234182160346&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
347,Wruilkeh,Voh,Voh Captaincy,Vreagab,Kingdom of Vreagab,狗头人（哥布林）,Old Gneabligzism,village,951,3339.97,1624.17,31.62,-59.94,25,13°C,Milan (Italy),,,,,,,,{t1:vert;charges:[{charge:scissors2;t:or;p:e;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=951&name=Wruilkeh&seed=1234182160347&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
348,Dinarde,Bothizda,Bothizda County,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,town,5215,8106.92,1846.5,23.63,111.41,121,21°C,Tegucigalpa (Honduras),,port,,,,,,{t1:azure;charges:[{charge:eagle;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Dinarde&population=5215&size=24&seed=1234182160348&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
349,Stagbutumn,Travia,Travia Governorate,Engai,Republic of Engai,戴尔（人类）,戴尔（人类） Spirits,town,2020,2321.44,1660.13,30.33,-96.55,400,13°C,Milan (Italy),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:bendletSinister;t:gules;line:straight}];shield:culture},https://watabou.github.io/city-generator/?name=Stagbutumn&population=2020&size=17&seed=1234182160349&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
350,Fynta,Nelkunbu,Nelkunbu County,Shemnaselu,Grand Duchy of Shemnaselu,尤顿（巨人）,尤顿（巨人） Druidism,village,509,5725.54,2502.33,0.06,25.81,49,30°C,Khartoum (Sudan),,,,,,,,{t1:azure;division:{division:perFess;t:argent;line:dancetty};charges:[{charge:mullet;t:or;p:k;size:0.7};{charge:camel;t:gules;p:n;size:0.7}];shield:culture},https://watabou.github.io/village-generator/?pop=509&name=Fynta&seed=1234182160350&width=1000&height=488&style=default&tags=isolated%2Cno+orchards%2Cno+square%2Cdense
351,Blus,Gneabsil,Gneabsil County,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,town,6588,1409.26,3408.06,-32.49,-129.34,25,18°C,Barcelona (Spain),,port,citadel,,,,,{t1:purpure;charges:[{charge:escallop;t:or;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Blus&population=6588&size=26&seed=1234182160351&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.4
352,Zugrim,Zugrim,Zugrim County,Giruzar,Giruzar Empire,尤顿（巨人）,尤顿（巨人） Druidism,city,15900,7513.46,2120.89,13.77,90.08,81,28°C,Bangkok (Thailand),,port,citadel,walls,,,,{t1:argent;division:{division:chevronny;t:azure};shield:culture},https://watabou.github.io/city-generator/?name=Zugrim&population=15900&size=37&seed=1234182160352&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
353,Stryt,Stryt,Stryt Province,Biok,Republic of Biok,狗头人（哥布林）,Old Gneabligzism,town,10016,4008.89,1614.51,31.97,-35.9,144,12°C,Paris (France),,,,walls,,,,{t1:azure;charges:[{charge:grapeBunch;t:or;p:e;t2:or;t3:or;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Stryt&population=10016&size=31&seed=1234182160353&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
354,Goldbrook,Hound,Hound Captaincy,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,town,5475,7501.53,3283.83,-28.03,89.65,196,19°C,Marrakesh (Morocco),,,,,,,,{t1:purpure;division:{division:perFess;t:argent;line:arched};charges:[{charge:lozengeFaceted;t:or;p:ABCDEFGHIJKL;t2:or;t3:or;size:0.18};{charge:axe;t:or;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Goldbrook&population=5475&size=25&seed=1234182160354&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
355,Pudrockward,Steameria,Steameria Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,2574,7371.98,3423.21,-33.04,84.99,100,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;charges:[{charge:pillar;t:sable;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Pudrockward&population=2574&size=19&seed=1234182160355&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
356,Pyreaz,Stryt,Stryt Governorate,Biok,Republic of Biok,狗头人（哥布林）,Old Gneabligzism,town,6601,4260.29,2042.34,16.59,-26.86,4,26°C,Jakarta (Indonesia),,,,,,,,{t1:argent;charges:[{charge:scissors;t:gules;p:abc;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Pyreaz&population=6601&size=26&seed=1234182160356&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
357,Beornel,Beornel,Beornel County,Giruzar,Giruzar Empire,尤顿（巨人）,尤顿（巨人） Druidism,town,12064,7022.47,2284.88,7.88,72.43,1521,18°C,Barcelona (Spain),,,,walls,,,,{t1:argent;charges:[{charge:crossedBones;t:purpure;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Beornel&population=12064&size=33&seed=1234182160357&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
358,Selfahoma,Selfahoma,Selfahoma County,Karion,Protectorate of Karion,昆雅（精灵）,昆雅（精灵） Druidism,town,7275,7279.99,1422.29,38.88,81.69,289,7°C,Montreal (Canada),,,,,,,,{t1:sable;division:{division:perBendSinister;t:argent;line:wavy};charges:[{charge:sun;t:or;p:j;size:0.7};{charge:lute;t:gules;p:o;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Selfahoma&population=7275&size=27&seed=1234182160358&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
359,Kmlon Ai,Unore,Unore County,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,village,710,5868.76,1939.24,20.3,30.96,64,24°C,Dakar (Senegal),,,,,,,,{t1:or;charges:[{charge:bookClosed;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=710&name=Kmlon+Ai&seed=1234182160359&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
360,Gol-Khod,Grigh,Grigh Earldom,Zrio,Kingdom of Zrio,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,2485,1774.76,2684.25,-6.48,-116.2,25,30°C,Khartoum (Sudan),,,,walls,,,,{t1:azure;charges:[{charge:bridge;t:or;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Gol-Khod&population=2485&size=18&seed=1234182160360&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
361,Cielbs,Fel,Fel Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,3875,2587.43,3099.03,-21.39,-86.99,324,25°C,Miami (USA),,,,,,,,{t1:or;charges:[{charge:triangle;t:sable;p:kmo;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Cielbs&population=3875&size=22&seed=1234182160361&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
362,Unanlebel,Selfahoma,Selfahoma County,Karion,Protectorate of Karion,昆雅（精灵）,昆雅（精灵） Druidism,village,1736,7361.72,1279.24,44.02,84.62,225,4°C,Reykjavik (Iceland),,,,,,,,{t1:azure;charges:[{charge:hatchet;t:argent;p:e;t2:argent;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1736&name=Unanlebel&seed=1234182160362&width=1600&height=780&style=snow&tags=dead+end%2Cno+square%2Cdense
363,Yudgrimfa,Yudgrimfa,Yudgrimfa County,Giruzar,Giruzar Empire,尤顿（巨人）,尤顿（巨人） Druidism,town,9451,7899.86,2321.68,6.55,103.97,196,28°C,Bangkok (Thailand),,,,,,,,{t1:argent;charges:[{charge:castle;t:gules;p:def;t2:gules;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Yudgrimfa&population=9451&size=30&seed=1234182160363&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
364,Enenora,Shaulal,Shaulal County,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,village,1137,6961.94,1847.88,23.58,70.25,676,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;division:{division:perBendSinister;t:argent;line:straight};shield:culture},https://watabou.github.io/village-generator/?pop=1137&name=Enenora&seed=1234182160364&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
365,Adgvic,Rud,Rud Captaincy,Vreagab,Kingdom of Vreagab,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,6378,2873,1421.86,38.89,-76.73,121,8°C,Prague (Czechia),,,,,,,,{t1:argent;charges:[{charge:scale;t:sable;p:e;t2:sable;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Adgvic&population=6378&size=26&seed=1234182160365&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
366,Shavenshear,Travia,Travia Governorate,Engai,Republic of Engai,戴尔（人类）,戴尔（人类） Spirits,town,3676,2111.05,1662.6,30.24,-104.12,64,16°C,Dubrovnik (Croatia),,,,,,,,{t1:gules;ordinaries:[{ordinary:pile;t:argent}];shield:culture},https://watabou.github.io/city-generator/?name=Shavenshear&population=3676&size=21&seed=1234182160366&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
367,Chiafta,Kuzg,Kuzg County,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,town,3226,2115.11,2574.67,-2.54,-103.97,361,28°C,Bangkok (Thailand),,,citadel,,,,,{t1:masoned-azure-or-small;ordinaries:[{ordinary:bendSinister;t:argent;line:straight}];charges:[{charge:anchor;t:argent;p:a;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Chiafta&population=3226&size=20&seed=1234182160367&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
368,Stroi,Croi,Croi Canton,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,4503,3063.93,2682.15,-6.4,-69.86,49,30°C,Khartoum (Sudan),,,,,,,,{t1:argent;ordinaries:[{ordinary:piles;t:vert}];charges:[{charge:lionRampant;t:purpure;p:e;t2:purpure;t3:azure;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Stroi&population=4503&size=23&seed=1234182160368&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
369,Draledaven,Draledaven,Draledaven Department,Engai,Republic of Engai,戴尔（人类）,戴尔（人类） Spirits,town,9441,1924.08,1557.16,34.03,-110.84,9,10°C,London (England),,port,,,,,,{t1:argent;division:{division:perCross;t:purpure;line:straight};ordinaries:[{ordinary:gemelle;t:vert;line:straight}];charges:[{charge:tree;t:vert;p:abc;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Draledaven&population=9441&size=30&seed=1234182160369&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.88
370,Naram,Laughed,Laughed County,Karion,Protectorate of Karion,尤顿（巨人）,尤顿（巨人） Druidism,fort,875,7290.26,1709.19,28.57,82.06,529,14°C,Washington (D.C.),,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:fess;t:argent;line:straight}];charges:[{charge:archer;t:argent;p:abc;t2:argent;t3:argent;size:0.5}];shield:culture},null
371,Smootdadow,Gloomhorn,Gloomhorn County,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,town,2444,7912.92,3768.24,-45.44,104.44,36,6°C,Stockholm (Sweden),,,,,,,,{t1:sable;charges:[{charge:crossOrthodox;t:or;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Smootdadow&population=2444&size=18&seed=1234182160371&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
372,Bakeguard,Hound,Hound Captaincy,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,village,1386,7565.4,3273.21,-27.65,91.95,225,19°C,Marrakesh (Morocco),,,,walls,,,,{t1:azure;ordinaries:[{ordinary:pale;t:or;line:wavy}];charges:[{charge:helmetZischagge;t:vert;p:beh;size:0.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1386&name=Bakeguard&seed=1234182160372&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cpalisade%2Cdense
373,Klilm,Gasinx,Gasinx County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,town,2666,3565.39,1644.19,30.9,-51.84,441,13°C,Milan (Italy),,,,,,,,{t1:gules;charges:[{charge:cock;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Klilm&population=2666&size=19&seed=1234182160373&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
374,Drywateverf,Griron,Griron Shire,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,town,2037,8153.1,3425.7,-33.13,113.07,289,15°C,Rome (Italy),,,,,,,,{t1:purpure;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:trowel;t:argent;p:y;t2:argent;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Drywateverf&population=2037&size=17&seed=1234182160374&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
375,Szeer,Zel,Zel County,Srach,Grand Duchy of Srach,阿拉戈（蛛形）,Deities of the Amber Cold,town,6854,4838.48,1434.56,38.44,-6.08,16,9°C,Copenhagen (Denmark),,,,,,,,{t1:sable;division:{division:perBendSinister;t:or;line:straight};charges:[{charge:mallet;t:argent;p:j;t2:argent;size:0.7};{charge:drawingCompass;t:gules;p:o;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Szeer&population=6854&size=27&seed=1234182160375&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
376,Okh-Grar,Okh-Grar,Okh-Grar Margrave,Vreagab,Kingdom of Vreagab,乌鲁克（兽人）,乌鲁克（兽人） Beliefs,town,6903,3080.31,1885.07,22.25,-69.27,841,15°C,Rome (Italy),,,,,,,,{t1:sable;charges:[{charge:crossVoided;t:argent;p:jln;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Okh-Grar&population=6903&size=27&seed=1234182160376&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
377,Gighel,Bratliaq,Bratliaq Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,village,1847,3133.16,2516.03,-0.43,-67.38,225,29°C,Niamey (Niger),,,,,,,,{t1:argent;charges:[{charge:crossHummetty;t:gules;p:e;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1847&name=Gighel&seed=1234182160377&width=1600&height=780&style=default&tags=highway%2Cno+orchards%2Cno+square%2Cdense
378,Thyueghedhel,Ololunesa,Ololunesa County,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,city,14614,6577.4,1690.41,29.24,56.43,625,12°C,Paris (France),,,,,,,,{t1:chainy-argent-vert;division:{division:perFess;t:purpure;line:straight};ordinaries:[{ordinary:bendletSinister;t:gules;line:straight}];shield:culture},https://watabou.github.io/city-generator/?name=Thyueghedhel&population=14614&size=36&seed=1234182160378&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
379,Brybok,Qosx,Qosx Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,8443,2423.76,3377.08,-31.38,-92.88,4,18°C,Barcelona (Spain),,,,,,,,{t1:argent;charges:[{charge:triangle;t:gules;p:jln;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Brybok&population=8443&size=29&seed=1234182160379&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
380,Boselight,Drayhost,Drayhost Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,3039,7423.14,3591.69,-39.09,86.83,9,12°C,Paris (France),,,,walls,,,,{t1:azure;charges:[{charge:mullet;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Boselight&population=3039&size=20&seed=1234182160380&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
381,Emerne,Draledaven,Draledaven Department,Engai,Republic of Engai,戴尔（人类）,戴尔（人类） Spirits,town,7792,1933.08,1530.71,34.98,-110.51,9,10°C,London (England),,port,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:sable;line:engrailed}];charges:[{charge:bowWithThreeArrows;t:argent;p:e;t2:argent;t3:argent;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Emerne&population=7792&size=28&seed=1234182160381&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.07
382,Mathyrwinle,Saquasanar,Saquasanar Barony,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,town,6236,6440.73,1895.99,21.85,51.52,529,18°C,Barcelona (Spain),,,,,,,,{t1:argent;ordinaries:[{ordinary:gore;t:vert}];charges:[{charge:mascle;t:azure;p:eknpq;size:0.4}];shield:culture},https://watabou.github.io/city-generator/?name=Mathyrwinle&population=6236&size=26&seed=1234182160382&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
383,Zriokots,Ulmzofs,Ulmzofs Province,Biok,Republic of Biok,狗头人（哥布林）,Old Gneabligzism,town,3468,4098.8,1947.28,20.01,-32.66,49,24°C,Dakar (Senegal),,,,walls,,,,{t1:or;ordinaries:[{ordinary:terrace;t:sable;line:escartely}];charges:[{charge:roundel2;t:gules;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Zriokots&population=3468&size=21&seed=1234182160383&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
384,Dulnarg,Bothizda,Bothizda County,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,town,7355,8329.15,2063.19,15.84,119.4,1764,17°C,Lisbon (Portugal),,,,walls,,,,{t1:gules;division:{division:perFess;t:argent;line:straight};charges:[{charge:griffinPassant;t:or;p:kn;t2:or;t3:or;divided:counter;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Dulnarg&population=7355&size=28&seed=1234182160384&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
385,Tragsee,Fel,Fel Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,city,13064,2585.84,3002.63,-17.92,-87.05,225,27°C,Mogadishu (Somalia),,,,,,,,{t1:argent;division:{division:perCross;t:purpure;line:wavy};charges:[{charge:crescent;t:azure;p:j;size:0.6};{charge:mace;t:or;p:l;size:0.6};{charge:dragonPassant;t:argent;p:m;size:0.6};{charge:crossHummetty;t:azure;p:o;size:0.6}];shield:culture},https://watabou.github.io/city-generator/?name=Tragsee&population=13064&size=34&seed=1234182160385&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
386,Evercross,Lightia,Lightia Landgrave,Vreagab,Kingdom of Vreagab,戴尔（人类）,戴尔（人类） Spirits,village,1058,2461.69,1396,39.82,-91.51,225,5°C,Harbin (China),,,,,,,,{t1:purpure;charges:[{charge:tower;t:or;p:e;t2:or;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1058&name=Evercross&seed=1234182160386&width=1400&height=683&style=snow&tags=highway%2Cno+square%2Cdense
387,Neer,Zel,Zel County,Srach,Grand Duchy of Srach,阿拉戈（蛛形）,Deities of the Amber Cold,town,3966,4992.22,1379.41,40.42,-0.55,4,6°C,Stockholm (Sweden),,,citadel,,,,,{t1:azure;division:{division:perPale;t:or;line:wavy};charges:[{charge:deerHeadCaboshed;t:argent;p:p;t2:argent;size:0.7};{charge:cossack;t:azure;p:q;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Neer&population=3966&size=22&seed=1234182160387&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
388,Chox,Srefs,Srefs Earldom,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,town,2906,1803.32,2883.88,-13.65,-115.18,16,28°C,Bangkok (Thailand),,port,,walls,,,,{t1:potent-or-azure;division:{division:perFess;t:gules;line:straight};charges:[{charge:crossSaltire;t:sable;p:jkl;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Chox&population=2906&size=19&seed=1234182160388&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.64
389,Yuethyr,Ololunesa,Ololunesa County,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,town,3314,6475.54,1742.03,27.39,52.77,676,13°C,Milan (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:cross;t:sable;line:wavy}];charges:[{charge:ramHeadErased;t:azure;p:acgi;t2:gules;t3:azure;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Yuethyr&population=3314&size=20&seed=1234182160389&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
390,Dogportwell,Bearse,Bearse County,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,town,2077,7922.2,3487.9,-35.36,104.77,49,14°C,Washington (D.C.),,,,,,,,{t1:or;ordinaries:[{ordinary:orle;t:gules}];charges:[{charge:mullet6;t:sable;p:e;size:1.1}];shield:culture},https://watabou.github.io/city-generator/?name=Dogportwell&population=2077&size=17&seed=1234182160390&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
391,Zach,Zel,Zel County,Srach,Grand Duchy of Srach,阿拉戈（蛛形）,Deities of the Amber Cold,village,1785,4834.4,1506.89,35.84,-6.22,9,10°C,London (England),,,,,,,,{t1:gules;charges:[{charge:grapeBunch;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1785&name=Zach&seed=1234182160391&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
392,Fruict,Phax,Phax Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,2143,2553.22,3239.33,-26.43,-88.22,225,22°C,Guangzhou (China),,,,,,,,{t1:bendy-argent-purpure;division:{division:perPale;t:gules;line:straight};ordinaries:[{ordinary:bordure;t:azure}];shield:culture},https://watabou.github.io/city-generator/?name=Fruict&population=2143&size=17&seed=1234182160392&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
393,Drododra,Brazadh,Brazadh Province,Engai,Republic of Engai,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,8850,1883.67,1754.12,26.95,-112.29,9,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;charges:[{charge:key;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Drododra&population=8850&size=30&seed=1234182160393&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
394,Galkug,Yudhyrgu,Yudhyrgu County,Giruzar,Giruzar Empire,尤顿（巨人）,Embergrakecism,village,1566,7820.57,2916.44,-14.82,101.12,64,28°C,Bangkok (Thailand),,,,,,,,{t1:vert;division:{division:perPale;t:argent;line:straight};ordinaries:[{ordinary:canton;t:or;divided:counter}];shield:culture},https://watabou.github.io/village-generator/?pop=1566&name=Galkug&seed=1234182160394&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
